Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
59,0.547,15.738,0.195,1.568,0.017,0.037,2.13,8.355,0,0.524,0.019,0.052,0.066,0.066,0.047,0.086,0.007,0,65.574,7.228,0.41,5.601,0.064,0.002,0.029,0,1.846,0,4.74,8.33,2.74,336.81,21.53,81.99,61.63,179,20.47
60,0.909,16.677,0.218,2.766,0.048,0.031,2.559,14.473,0,2.835,0,0.023,0.058,0.058,0,0,0.007,0,11.64,3.857,0.091,6.733,0.042,0.006,0.034,0,2.512,0,4.1,9.46,2.84,357.47,22.42,78.26,54.84,178.12,21.14
61,0.353,11.976,0.152,1.803,0.021,0.03,0.714,21.873,0,2.356,0,0.032,0.019,0.019,0,0,0.125,0,1.557,4.826,0.618,2.717,0.022,0.004,0.02,0,1.037,0,2.49,4.68,1.55,280.29,12.53,53.44,29.18,143.32,15.88
62,0.439,12.027,0.21,2.058,0.025,0.062,0.754,6.069,0,0.147,0,0.024,0.065,0.065,0,0.178,0.001,0,5.378,3.374,0.121,7.411,0.045,0.003,0.032,0,2.511,0,3.83,10.55,1.97,265.42,17.3,54.54,70.42,131.89,16.16
63,0.356,11.322,0.284,1.611,0.018,0.05,0.528,8.149,0,0.301,0,0.023,0.03,0.03,0,0,0.005,0,31.338,3.827,0.041,7.15,0.069,0.004,0.03,0,2.269,0,3.05,10.44,1.78,301.08,16.11,51.25,41.78,148.99,18.44
64,0.517,11.618,0.146,2.388,0,0.028,0.241,9.033,0,0.177,0,0.012,0.045,0.045,0,0,0.002,0,7.785,5.712,0.076,4.128,0.077,0.006,0.008,0,1.697,0,3.32,5.23,1.85,360.52,5.84,46.32,42.94,178.66,19.98
65,0.08,6.561,0.078,3.731,0.018,0.007,0.299,1.147,0,0.049,0,0,0.002,0.002,0.141,0,0.003,0,4.382,0,0,2.665,0,0.007,0.006,0,0.837,0,0.73,3.16,0.72,114.36,6.88,25.59,15.47,58.57,7.06
66,0.42,11.659,0.081,4.898,-0.003,0.026,0.187,3.014,0.001,0.094,0.033,0.005,0.024,0.024,0.202,0.102,0.004,0,0,2.528,0.034,4.787,0.09,0.005,0.01,0,1.412,0,4.4,7.83,2.12,263.02,12.51,55.9,70.37,134.41,16.38
67,0.005,1.776,0.056,0.368,0.025,-0.001,0.144,1.07,0,0.073,0,0.006,0,0,0,0,0,0,0.053,0,0,4.385,0,0.06,0.004,0.035,1.556,0,0.64,4.8,0.23,35.45,11.09,3.65,6.8,17.06,2.95
68,0.506,5.184,0.094,2.013,0.01,0.011,0.136,5.843,0,0.397,0.031,0.018,0,0,0.055,0,0.004,0,7.185,1.225,0.048,4.122,0.043,0.004,0.012,0,1.448,0,2.07,6.89,0.9,136.07,13.55,16.15,33.83,67.55,8.6
